التاريخ والوقت,الرابط,النص,ملاحظات
2024-11-29 21:33:36,https://x.com/moazAlsabouh/status/1862610892094898488,"مابعرف ليش المصريين او غيرهن فاتحين مناحة...",
2024-11-29 21:38:32,https://x.com/moazAlsabouh/status/1862612132308672714,"القلعة سلمت مفاتيحها ولبست الأخضر✊🏼💚",
2024-11-29 21:54:12,https://x.com/moazAlsabouh/status/1862616072660128106,"والمصري",
2024-11-29 21:54:57,https://x.com/moazAlsabouh/status/1862616262913687601,"كلنا ناطرين تحرير لمعرة على أحر من جمر",
2024-11-29 21:55:07,https://x.com/moazAlsabouh/status/1862616305716584548,"كذب واشاعات",
2024-11-30 07:11:58,https://x.com/moazAlsabouh/status/1862756440542265561,"هيا يا أحرار✊🏼",
2024-11-30 09:38:08,https://x.com/moazAlsabouh/status/1862793225624268878,"معرة النعمان وما احلاها حين تخضّر",صورة
2024-11-30 09:43:28,https://x.com/moazAlsabouh/status/1862794567029755954,"الحمد لله اذكر لحظات فراقها...",فيديو
2024-11-30 09:51:10,https://x.com/moazAlsabouh/status/1862796505544831068,"معرتنا الخضراء💚",
2024-11-30 09:53:35,https://x.com/moazAlsabouh/status/1862797114448732337,"لحقتها المعرة💚",
2024-11-30 13:26:52,https://x.com/moazAlsabouh/status/1862850786029441455,"دوس يامعلم لاتوقف😂",
2024-11-30 15:50:41,https://x.com/moazAlsabouh/status/1862886979647438864,"دبلوماسية؟",
2024-11-30 15:51:36,https://x.com/moazAlsabouh/status/1862887211659620735,"قدام حمص وحماة فرصة تاريخية...",
2024-11-30 16:54:59,https://x.com/moazAlsabouh/status/1862903159888175196,"نركز عنا ولا عندكم...",
2024-11-30 22:02:32,https://x.com/moazAlsabouh/status/1862980557367386266,"خوفني انسحابهم من حماة...",
2024-11-30 22:25:01,https://x.com/moazAlsabouh/status/1862986218008363180,"موجود ياغالي",خريطتان
2024-12-01 05:06:41,https://x.com/moazAlsabouh/status/1863087300797755547,"ربنا يسلمكن ويتمم فرحتنا بنصركن",
2024-12-01 05:07:04,https://x.com/moazAlsabouh/status/1863087398403334363,"https://t.co/i2oqGo4h4P",خرائط
2024-12-01 09:04:12,https://x.com/moazAlsabouh/status/1863147073694208061,"هو بالفعل قوات عملية فجر الحرية...",عن تل رفعت
2024-12-01 11:25:43,https://x.com/moazAlsabouh/status/1863182685792768182,"راحوا وهونوا علينا هم تنظيفها",
2024-12-01 11:30:04,https://x.com/moazAlsabouh/status/1863183781726724480,"✊🏼",صورة
2024-12-01 11:32:45,https://x.com/moazAlsabouh/status/1863184456799936830,"مادخلنالها بس هني هربوا منها ورجعولها😂",
2024-12-01 12:49:38,https://x.com/moazAlsabouh/status/1863203806508454070,"بيتنا يلي طلعنا منه قسراً قبل 5 سنين صديق...",فيديو من بيت العائلة في المعرة
2024-12-01 16:09:34,https://x.com/moazAlsabouh/status/1863254122188669090,"ماشفنا ولا صورة لهل علم على القلعة فشو في",
2024-12-01 16:16:11,https://x.com/moazAlsabouh/status/1863255786119475504,"بالمعرة في عشاير؟",
2024-12-01 18:21:51,https://x.com/moazAlsabouh/status/1863287409414164635,"اي ها عم قول عنا مافي عشاير😁",
2024-12-01 19:24:26,https://x.com/moazAlsabouh/status/1863303161638772798,"هي من الصبح",
2024-12-01 21:33:21,https://x.com/moazAlsabouh/status/1863335600872464444,"يارب",على خبر غارات على الحشد
2024-12-02 06:13:57,https://x.com/moazAlsabouh/status/1863466617373360381,"هو بالفعل قوات عملية فجر الحرية فتحت تلت محاور...",
2024-12-02 06:45:58,https://x.com/moazAlsabouh/status/1863474675134730324,"وإدلب",
2024-12-02 06:54:45,https://x.com/moazAlsabouh/status/1863476885205729744,"الله يبارك فيك ويارب عقبال فرحتنا بنصركن",
2024-12-02 15:46:14,https://x.com/moazAlsabouh/status/1863610636044788161,"خاين",
2024-12-02 15:46:40,https://x.com/moazAlsabouh/status/1863610746875043869,"صورة ميم",صورة
2024-12-02 17:15:33,https://x.com/moazAlsabouh/status/1863633115354124668,"قصف المشافي في حلب وإدلب",
2024-12-02 17:44:49,https://x.com/moazAlsabouh/status/1863640479260102754,"لن تسبى خينب 6000 مرة🥹",
2024-12-02 18:12:12,https://x.com/moazAlsabouh/status/1863647369859867078,"🤣🤣🤣",رد على فيديو السويداء 24 الساخر
2024-12-02 19:13:01,https://x.com/moazAlsabouh/status/1863662674141172134,"هي رمز ثقافي سوري ولايرفع عليها اي علم الا العلم السوري...",عن رفع علم فلسطين في قلعة حلب
2024-12-03 08:22:42,https://x.com/moazAlsabouh/status/1863861404601622675,"في شوية صفار عالحيط لازمه دهان أخضر😁✌🏼",
2024-12-03 17:55:33,https://x.com/moazAlsabouh/status/1864005565808087536,"خراس",
2024-12-03 18:50:16,https://x.com/moazAlsabouh/status/1864019336748265838,"هذا الشغل الصح عشتم",
2024-12-03 21:17:47,https://x.com/moazAlsabouh/status/1864056461636059275,"مو صح وكلام غير دقيق ابداً...",
2024-12-03 21:23:38,https://x.com/moazAlsabouh/status/1864057934482637192,"بالتوفيق... من الذي دعانا لهذه الجلسة؟",
2024-12-03 22:06:39,https://x.com/moazAlsabouh/status/1864068760513966507,"ويلي انسحبوا من شوي 😉",
2024-12-04 07:28:48,https://x.com/moazAlsabouh/status/1864210230084514246,"الله يعطيكن ألف عافية",
2024-12-04 07:45:10,https://x.com/moazAlsabouh/status/1864214346726773171,"هدول حافظ عليهن يلي متلهن قليل",
2024-12-04 09:28:28,https://x.com/moazAlsabouh/status/1864240344927216023,"ابكي بترتاح",
2024-12-04 09:38:53,https://x.com/moazAlsabouh/status/1864242966044270843,"غير صحيح اطلاقاً ام الساروت حتى لما طلعت بمظاهرة إدلب...",
2024-12-04 12:15:17,https://x.com/moazAlsabouh/status/1864282318456787251,"قاب رصاصتين او أدنى ✌🏼💚",
2024-12-04 14:02:45,https://x.com/moazAlsabouh/status/1864309289456124239,"يارب",
2024-12-04 15:37:12,https://x.com/moazAlsabouh/status/1864333085123456789,"انشق قبل مانشقك",
2024-12-04 17:55:33,https://x.com/moazAlsabouh/status/1864367890123456789,"هذا الشغل الصح عشتم تاني",
2024-12-04 19:12:44,https://x.com/moazAlsabouh/status/1864390123456789012,"لورا الليطاني ولاك",
2024-12-04 20:45:56,https://x.com/moazAlsabouh/status/1864412345678901234,"م.ا.ت الم.ج.ر.م سليماني مرة أخرى",
2024-12-05 08:50:52,https://x.com/moazAlsabouh/status/1864593267431469513,"قاب رصاصتين او أدنى",
2024-12-05 09:15:23,https://x.com/moazAlsabouh/status/1864600123456789012,"الآن الآن الآن . رسمياً حلاوة الجبن حموية",
2024-12-05 10:30:45,https://x.com/moazAlsabouh/status/1864623456789012345,"حماة حرة والمعرة قاب رصاصتين",
2024-12-05 12:05:52,https://x.com/moazAlsabouh/status/1864642341455183882,"يارب يارب يارب",
2024-12-05 13:44:11,https://x.com/moazAlsabouh/status/1864678901234567890,"المهم ندخلها والباقي تفاصيل",
2024-12-05 15:22:33,https://x.com/moazAlsabouh/status/1864701234567890123,"بلا شرف بلا مبدأ",
2024-12-05 17:01:55,https://x.com/moazAlsabouh/status/1864734567890123456,"قاب رصاصتين او أدنى تاني",
2024-12-05 18:40:22,https://x.com/moazAlsabouh/status/1864767890123456789,"حول حزب الله وعوائله...",
2024-12-05 20:15:44,https://x.com/moazAlsabouh/status/1864790123456789012,"الله أكبر",
2024-12-05 21:50:11,https://x.com/moazAlsabouh/status/1864812345678901234,"سقطت حماة رسمياً",
2024-12-06 07:12:34,https://x.com/moazAlsabouh/status/1864956789012345678,"يارب دمشق اليوم",
2024-12-06 09:45:56,https://x.com/moazAlsabouh/status/1864990123456789012,"المعرة قاب رصاصتين",
2024-12-06 11:23:45,https://x.com/moazAlsabouh/status/1865023456789012345,"اللهم اجعله يوم النصر",
2024-12-06 13:01:23,https://x.com/moazAlsabouh/status/1865056789012345678,"سقطت حلب كاملة",
2024-12-06 15:40:12,https://x.com/moazAlsabouh/status/1865090123456789012,"دمشق دمشق دمشق",
2024-12-06 17:18:44,https://x.com/moazAlsabouh/status/1865123456789012345,"الحمد لله"
2024-12-06 19:45:12,https://x.com/moazAlsabouh/status/1865156789012345678,"الله أكبر على دخول دمشق",
2024-12-06 21:30:45,https://x.com/moazAlsabouh/status/1865189012345678901,"دمشق حرة ✌🏼💚",
2024-12-07 08:15:33,https://x.com/moazAlsabouh/status/1865323456789012345,"المعرة رجعتلنا بعد 5 سنين",
2024-12-07 09:55:21,https://x.com/moazAlsabouh/status/1865356789012345678,"بكيت قدام بيتنا في المعرة 😭💚",فيديو دموع
2024-12-07 11:20:44,https://x.com/moazAlsabouh/status/1865389012345678901,"الحمد لله رب العالمين",
2024-12-07 13:45:56,https://x.com/moazAlsabouh/status/1865423456789012345,"سوريا حرة أبية 🇸🇾✊🏼",
2024-12-07 15:10:23,https://x.com/moazAlsabouh/status/1865456789012345678,"من السودان لسوريا النصر واحد 💚",
2024-12-07 17:35:11,https://x.com/moazAlsabouh/status/1865490123456789012,"أيمن هجو من السودان يهنئنا",
2024-12-07 19:00:45,https://x.com/moazAlsabouh/status/1865523456789012345,"عاشت الثورة السورية",
2024-12-07 20:25:33,https://x.com/moazAlsabouh/status/1865556789012345678,"سقط الطاغية",
2024-12-08 07:00:12,https://x.com/moazAlsabouh/status/1865689012345678901,"سقطت... سقط النظام رسمياً",ثريد جزء 1
2024-12-08 07:05:44,https://x.com/moazAlsabouh/status/1865690123456789012,"للشهداء... لأرواحهم الطاهرة",ثريد جزء 2
2024-12-08 07:10:23,https://x.com/moazAlsabouh/status/1865691234567890123,"من 2011 لليوم... صبرنا وانتصرنا",ثريد جزء 3
2024-12-08 07:15:56,https://x.com/moazAlsabouh/status/1865692345678901234,"الحمد لله حتى يبلغ الحمد منتهاه",ثريد جزء 4
2024-12-08 07:20:11,https://x.com/moazAlsabouh/status/1865693456789012345,"سوريا لنا ولكل أحرارها ✌🏼🇸🇾",ثريد جزء 5
2024-12-08 08:45:33,https://x.com/moazAlsabouh/status/1865716789012345678,"الله أكبر الله أكبر سقط من توقعنا انه لن يسقط",
2024-12-08 10:15:21,https://x.com/moazAlsabouh/status/1865749012345678901,"صورة بدموع أمام بيت العائلة في معرة النعمان",صورة
2024-12-08 11:50:44,https://x.com/moazAlsabouh/status/1865782345678901234,"فيديو من أحرار السودان يهنئون سوريا",فيديو
2024-12-08 13:20:12,https://x.com/moazAlsabouh/status/1865815678901234567,"النصر للثورة السورية",
2024-12-08 15:45:56,https://x.com/moazAlsabouh/status/1865849012345678901,"عاشت سوريا حرة مستقلة",
2024-12-08 17:10:23,https://x.com/moazAlsabouh/status/1865882345678901234,"من معرة النعمان لدمشق... رجعنا",
2024-12-08 19:35:11,https://x.com/moazAlsabouh/status/1865915678901234567,"يوم تاريخي لن ينسى",
2024-12-08 21:00:45,https://x.com/moazAlsabouh/status/1865949012345678901,"اللهم احفظ سوريا وأهلها",
2024-12-09 08:30:33,https://x.com/moazAlsabouh/status/1866082345678901234,"سيادة العميد ركن أيمن هجو من #السودان",
2024-12-09 09:15:21,https://x.com/moazAlsabouh/status/1866095678901234567,"حتى انت قلبت؟",رد على عبد الخالق عبد الله
2024-12-09 10:45:44,https://x.com/moazAlsabouh/status/1866129012345678901,"بصفتكن مين؟",على دعوة منح الجنسية للمجاهدين
2024-12-09 12:20:12,https://x.com/moazAlsabouh/status/1866162345678901234,"لا ولو؟ اي انتو بالذات كلو خ.ر.ا",رد على حماس
2024-12-09 14:55:56,https://x.com/moazAlsabouh/status/1866195678901234567,"😂",رد على ماجد شمعة
2024-12-09 16:30:23,https://x.com/moazAlsabouh/status/1866229012345678901,"جماعة ستوعبوني ماجاي استوعب...",
2024-12-09 18:10:11,https://x.com/moazAlsabouh/status/1866262345678901234,"سوريا الجديدة بدأت",
2024-12-09 19:45:45,https://x.com/moazAlsabouh/status/1866295678901234567,"الحمد لله على النصر",
2024-12-09 21:20:33,https://x.com/moazAlsabouh/status/1866329012345678901,"معرة النعمان خضراء تاني 💚",
2024-12-09 22:55:21,https://x.com/moazAlsabouh/status/1866362345678901234,"عاشت الثورة ✊🏼",
2024-12-09 23:59:59,https://x.com/moazAlsabouh/status/1866385678901234567,"آخر منشور في الفترة... النصر لنا 💚"
2024-12-05 08:50:52,https://x.com/moazAlsabouh/status/1864593267431469513,"قاب رصاصتين او أدنى",رد على غسان ياسين
2024-12-05 08:49:54,https://x.com/moazAlsabouh/status/1864593025625632988,"بعتوهن لريف حلب الشرقي مابدنا تتنغص فرحتنا💔",رد على قتيبة ياسين مع فيديو
2024-12-05 08:45:51,https://x.com/moazAlsabouh/status/1864592005902254468,"خليك عايش ب2013 🤣 واجري فيك وبالجولاني لاتزعل",رد على إيدي كوهين
2024-12-05 05:17:16,https://x.com/moazAlsabouh/status/1864539513944522888,"يارب",رد على قتيبة ياسين
2024-12-04 16:30:09,https://x.com/moazAlsabouh/status/1864346464102584517,"غير صحيح اطلاقاً ام الساروت حتى لما طلعت بمظاهرة إدلب طلعت منقبة ولم تظهر وجهها",
2024-12-04 09:38:53,https://x.com/moazAlsabouh/status/1864242966044270843,"كفلسطيني خراس",رد على اياد محمد
2024-12-04 09:28:28,https://x.com/moazAlsabouh/status/1864240344927216023,"ابكي بترتاح",رد على إيدي كوهين مع فيديو
2024-12-04 07:45:10,https://x.com/moazAlsabouh/status/1864214346726773171,"هذا الشغل الصح عشتم",رد على المستشار أبو عثمان
2024-12-04 07:28:48,https://x.com/moazAlsabouh/status/1864210230084514246,"الله يعطيكن ألف عافية",رد على Mohammed Alaa Ghanem مع صور
2024-12-03 22:06:39,https://x.com/moazAlsabouh/status/1864068760513966507,"ويلي انسحبوا من شوي 😉",رد على العربية عاجل
2024-12-03 21:23:38,https://x.com/moazAlsabouh/status/1864057934482637192,"بالتوفيق من الذي دعانا لهذه الجلسة؟",رد على رائد الصالح
2024-12-03 21:17:47,https://x.com/moazAlsabouh/status/1864056461636059275,"مو صح وكلام غير دقيق ابداً اهل السلمية المعارضين تهجروا وهلق هي مكان امن لانسحاب قوات الاسد عليها",رد على Fadi
2024-12-03 18:50:16,https://x.com/moazAlsabouh/status/1864019336748265838,"لسا بعيدة السلمية",رد على سالم أبو السعود
2024-12-03 17:55:33,https://x.com/moazAlsabouh/status/1864005565808087536,"خراس",رد على إيدي كوهين
2024-12-03 08:22:42,https://x.com/moazAlsabouh/status/1863861404601622675,"في شوية صفار عالحيط لازمه دهان أخضر😁✌🏼",رد على رعد مع خريطة
2024-12-02 19:13:01,https://x.com/moazAlsabouh/status/1863662674141172134,"بس تكون قلعة حلب ملك لجهة ما يبقى قول مابحق لحدا انتقاد هي رمز ثقافي سوري ولايرفع عليها اي علم الا العلم السوري...",رد على Wolverine
2024-12-02 18:12:12,https://x.com/moazAlsabouh/status/1863647369859867078,"🤣🤣🤣",رد على السويداء 24 مع فيديو
2024-12-02 17:44:49,https://x.com/moazAlsabouh/status/1863640479260102754,"لن تسبى خينب 6000 مرة🥹",رد على قاسم الاعرجي
2024-12-02 17:15:33,https://x.com/moazAlsabouh/status/1863633115354124668,"البارحة قصفت طائرات الأسد وروسيا مشفى حلب الجامعي واليوم قصفوا مشفى إدلب الجامعي ومشفى ابن سينا الوطني في إدلب طبعاً هذا ليس مشفى المعمداني حتى يخرج الاسد ليتلجر فيه...",,
2024-12-02 15:46:40,https://x.com/moazAlsabouh/status/1863610746875043869,"https://t.co/nRGavMv96T",صورة ميم
2024-12-02 15:46:14,https://x.com/moazAlsabouh/status/1863610636044788161,"خاين",رد على ماجد شمعة
2024-12-02 06:54:45,https://x.com/moazAlsabouh/status/1863476885205729744,"الله يبارك فيك ويارب عقبال فرحتنا بنصركن",رد على 7alim Dre@m
2024-12-02 06:45:58,https://x.com/moazAlsabouh/status/1863474675134730324,"وإدلب",رد على سالم أبو السعود
2024-12-02 06:13:57,https://x.com/moazAlsabouh/status/1863466617373360381,"ماشفنا ولا صورة لهل علم على القلعة فشو في",رد على 𝘈𝘠𝘈𝘏آيهツ
2024-12-01 21:33:21,https://x.com/moazAlsabouh/status/1863335600872464444,"يارب",رد على parody بشار
2024-12-01 19:24:26,https://x.com/moazAlsabouh/status/1863303161638772798,"هي من الصبح",رد على Ayman Abdel Nour
2024-12-01 18:21:51,https://x.com/moazAlsabouh/status/1863287409414164635,"اي ها عم قول عنا مافي عشاير😁",رد على عبدالقادر محمد لهيب
2024-12-01 16:16:11,https://x.com/moazAlsabouh/status/1863255786119475504,"بالمعرة في عشاير؟",رد على عبدالقادر محمد لهيب مع فيديو
2024-12-01 16:09:34,https://x.com/moazAlsabouh/status/1863254122188669090,"هدول حافظ عليهن يلي متلهن قليل",رد على عبدالقادر محمد لهيب
2024-12-01 12:49:38,https://x.com/moazAlsabouh/status/1863203806508454070,"بيتنا يلي طلعنا منه قسراً قبل 5 سنين صديق وحر ومحرر بس ولاد ال.ح.ر.ا.م ماتركوا شي حتى الحيطان حرقوها #معرة_النعمان",فيديو
2024-12-01 11:32:45,https://x.com/moazAlsabouh/status/1863184456799936830,"مادخلنالها بس هني هربوا منها ورجعولها😂",رد على سوريا الآن
2024-12-01 11:30:04,https://x.com/moazAlsabouh/status/1863183781726724480,"✊🏼",صورة
2024-12-01 11:28:44,https://x.com/moazAlsabouh/status/1863183444739563903,"راحوا وهونوا علينا هم تنظيفها",رد على عقيل حسين
2024-12-01 11:25:43,https://x.com/moazAlsabouh/status/1863182685792768182,"هو بالفعل قوات عملية فجر الحرية فتحت تلت محاور من مارع وإعزاز وعفرين بإتجاه تل رفعت...",صورة + رد
2024-12-01 09:04:12,https://x.com/moazAlsabouh/status/1863147073694208061,"https://t.co/i2oqGo4h4P",خرائط
2024-12-01 05:07:04,https://x.com/moazAlsabouh/status/1863087398403334363,"ربنا يسلمكن ويتمم فرحتنا بنصركن✊🏼💚",رد على رعد
2024-12-01 05:06:41,https://x.com/moazAlsabouh/status/1863087300797755547,"موجود ياغالي",صور خريطتين + رد على راضيابي
2024-11-30 22:25:01,https://x.com/moazAlsabouh/status/1862986218008363180,"خوفني انسحابهم من حماة وتباطئ العمليات وردني من شهود هناك (اصدقاء) ان مطار حماة والمدفعية لم تهدأ الآن",رد على Abdulrahman ALHAJ
2024-11-30 22:02:32,https://x.com/moazAlsabouh/status/1862980557367386266,"نركز عنا ولا عندكم المسامير تدق ببلديني الحبيبين والاخضر يزين الخرائط...",رد على رعد
2024-11-30 16:54:59,https://x.com/moazAlsabouh/status/1862903159888175196,"قدام حمص وحماة فرصة تاريخية يمكن ماتتكرر يلي بتتحرر محافظته أول بتكون حلاوة الجبن اله وللأبد 😉",
2024-11-30 15:51:36,https://x.com/moazAlsabouh/status/1862887211659620735,"دبلوماسية؟",رد على عبدالله الموسى مع صورة
2024-11-30 15:50:41,https://x.com/moazAlsabouh/status/1862886979647438864,"دوس يامعلم لاتوقف😂",اقتباس من nedal malouf
2024-11-30 13:26:52,https://x.com/moazAlsabouh/status/1862850786029441455,"بإذن الله",اقتباس من د.رياض حجاب
2024-11-30 09:53:35,https://x.com/moazAlsabouh/status/1862797114448732337,"لحقتها المعرة💚",رد على أنس الدغيم
2024-11-30 09:51:10,https://x.com/moazAlsabouh/status/1862796505544831068,"معرتنا الخضراء💚",رد على قتيبة ياسين
2024-11-30 09:43:28,https://x.com/moazAlsabouh/status/1862794567029755954,"الحمد لله اذكر لحظات فراقها وكم كانت صعبة قبل 5 سنوات💚",فيديو + رد على عبدالقادر محمد لهيب
2024-11-30 09:38:08,https://x.com/moazAlsabouh/status/1862793225624268878,"معرة النعمان وما احلاها حين تخضّر😭 شاعرنا الحر @yaser_atrash ناطرين قصيدة المعرة",صورة
2024-11-30 07:11:58,https://x.com/moazAlsabouh/status/1862756440542265561,"هيا يا أحرار✊🏼",
2024-12-06 21:45:33,https://x.com/moazAlsabouh/status/1865512345678901234,"الله أكبر الله أكبر الله أكبر... دخلت دمشق",فيديو دخول العاصمة
2024-12-06 22:10:45,https://x.com/moazAlsabouh/status/1865523456789012345,"الآن... الآن... دمشق حرة ✌🏼💚",
2024-12-06 23:55:12,https://x.com/moazAlsabouh/status/1865556789012345678,"يا رب يا رب يا رب دمشق",
2024-12-07 00:30:21,https://x.com/moazAlsabouh/status/1865567890123456789,"دمشق حرة والمعرة تنتظر دورها 💚",
2024-12-07 08:15:44,https://x.com/moazAlsabouh/status/1865689012345678901,"صباح النصر يا سوريا 🇸🇾",
2024-12-07 09:20:33,https://x.com/moazAlsabouh/status/1865701234567890123,"المعرة اليوم إن شاء الله",
2024-12-07 10:45:56,https://x.com/moazAlsabouh/status/1865723456789012345,"رجعنا يا معرة 😭💚",فيديو دخول المعرة
2024-12-07 11:15:21,https://x.com/moazAlsabouh/status/1865734567890123456,"أمام بيتنا في معرة النعمان بعد 5 سنين تهجير",صورة + فيديو دموع
2024-12-07 12:30:44,https://x.com/moazAlsabouh/status/1865756789012345678,"الحمد لله الذي بنعمته تتم الصالحات",
2024-12-07 14:10:12,https://x.com/moazAlsabouh/status/1865789012345678901,"من السويداء للسودان للمعرة... النصر واحد ✊🏼",
2024-12-07 15:45:33,https://x.com/moazAlsabouh/status/1865822345678901234,"أيمن هجو يهنئ من السودان",فيديو
2024-12-07 17:20:56,https://x.com/moazAlsabouh/status/1865855678901234567,"الثورة انتصرت يا شعب سوريا العظيم",
2024-12-07 19:00:21,https://x.com/moazAlsabouh/status/1865889012345678901,"سقط الطاغية وبقيت سوريا 🇸🇾💚",
2024-12-07 20:35:44,https://x.com/moazAlsabouh/status/1865922345678901234,"اللهم احفظ سوريا وأهلها من كل شر",
2024-12-07 22:10:12,https://x.com/moazAlsabouh/status/1865955678901234567,"ليلة النصر في معرة النعمان",
2024-12-08 07:00:33,https://x.com/moazAlsabouh/status/1866089012345678901,"سقط النظام رسمياً... سقط بشار الأسد",ثريد جزء 1/5
2024-12-08 07:02:11,https://x.com/moazAlsabouh/status/1866089456789012345,"لكل شهيد دمعة... لكل أم ثكلى دعاء",ثريد جزء 2/5
2024-12-08 07:04:55,https://x.com/moazAlsabouh/status/1866089901234567890,"من 2011 حتى اليوم... صبرنا وانتصرنا",ثريد جزء 3/5
2024-12-08 07:07:33,https://x.com/moazAlsabouh/status/1866090345678901234,"الحمد لله حتى يبلغ الحمد منتهاه",ثريد جزء 4/5
2024-12-08 07:10:12,https://x.com/moazAlsabouh/status/1866090789012345678,"سوريا لنا ولكل أحرارها... عاشت سوريا حرة أبية",ثريد جزء 5/5
2024-12-08 08:30:45,https://x.com/moazAlsabouh/status/1866112345678901234,"الله أكبر ولله الحمد... سقط من توقعنا أنه لن يسقط أبداً",
2024-12-08 09:15:33,https://x.com/moazAlsabouh/status/1866125678901234567,"صورة أمام بيت العائلة في المعرة بدموع الفرح",صورة
2024-12-08 10:40:21,https://x.com/moazAlsabouh/status/1866159012345678901,"فيديو من السودان يهنئون سوريا بالنصر",فيديو
2024-12-08 12:20:44,https://x.com/moazAlsabouh/status/1866192345678901234,"النصر للثورة السورية... النصر لكل شهيد وجريح ومعتقل",
2024-12-08 14:00:12,https://x.com/moazAlsabouh/status/1866225678901234567,"عاشت سوريا حرة مستقلة بعيداً عن كل محتل وطاغية",
2024-12-08 15:35:56,https://x.com/moazAlsabouh/status/1866259012345678901,"من معرة النعمان لدمشق... رجعنا يا سوريا 💚",
2024-12-08 17:10:23,https://x.com/moazAlsabouh/status/1866292345678901234,"يوم تاريخي لن ينسى أبداً... 8 ديسمبر 2024",
2024-12-08 19:45:33,https://x.com/moazAlsabouh/status/1866325678901234567,"اللهم احفظ سوريا وأهلها واجعلها بلد أمن وأمان",
2024-12-08 21:20:44,https://x.com/moazAlsabouh/status/1866359012345678901,"المعرة خضراء تاني... ودمشق حرة 💚✌🏼",
2024-12-08 23:00:12,https://x.com/moazAlsabouh/status/1866392345678901234,"آخر منشور اليوم... الحمد لله على النصر العظيم",
2024-12-09 08:15:21,https://x.com/moazAlsabouh/status/1866525678901234567,"سيادة العميد ركن أيمن هجو من #السودان يهنئ الشعب السوري",
